,start_station_name,value
1587,W 21 St & 6 Ave,128823
1718,West St & Chambers St,123045
495,Broadway & W 58 St,114040
286,6 Ave & W 33 St,106236
8,1 Ave & E 68 St,104685
461,Broadway & E 14 St,98656
485,Broadway & W 25 St,98237
1511,University Pl & E 14 St,96941
463,Broadway & E 21 St,95533
1603,W 31 St & 7 Ave,94035
788,E 33 St & 1 Ave,90839
590,Cleveland Pl & Spring St,90778
29,12 Ave & W 40 St,90237
287,6 Ave & W 34 St,89454
1719,West St & Liberty St,87480
24,11 Ave & W 41 St,87437
1105,Lafayette St & E 8 St,87325
562,Central Park S & 6 Ave,86777
796,E 40 St & Park Ave,85451
328,8 Ave & W 33 St,84864
